## 置顶词与自定义词组在这个文件里指定
## 格式：文本-输入码-权重，其间用 Tab 符分隔。
## 如要添加新的，可以复制已有的行，然后在其基础上修改。
## 置顶字词
去	q
我	w
二	e
人	r
他	t
一	y
是	u
出	i
哦	o
平	p
啊	a
三	s
的	d
非	f
个	g
和	h
就	j
可	k
了	l
在	z
小	x
才	c	2
这	v
吧	b
不	bu
把	ba	2
你	n
没	m
使	ui	2
試	ui	1
大	da	1

菜	cd	2
少	uc	2
僧	sg	2
多	do	2
佛	bi	2
无	mo	2
肉	rz	2
车	ie	2
新	xb	2
帅	uk	2
老	lc	2
将	jl	2
有	yz	2
云	yy	2
深	uf	2
山	uj	2
谁	uw	2
能	ng	2
弄	ls	2
风	fg	2
月	rz	2
水	uv	2
里	li	2
咋	za	2
让	rh	2
虐	nt	2
毛	mc	2
熊	xs	2
黑	he	2
龙	ls	2
森	sf	2
林	lb	2
闹	nc	2
天	tm	2
地	di	2
黄	hl	2
牛	nq	2
大	da	2
户	hu	2
拨	bo	2
窗	il	2
泥	ni	2
阿	aa	2
翁	wg	2
恰	qx	2
好	hc	2
说	uv	2
空	ks	2
话	hx	2
爱	ai	2
女	nv	2
当	dh	2
面	mm	2
色	se	2
从	cs	2
容	rs	2
怒	nu	2
撒	sa	2
红	hs	2
米	mi	2
她	ta	2
先	xm	2
笑	xn	2
穷	qs	2
困	ky	2
绿	lv	2
囊	nh	2
贼	zw	2
也	ye	2
完	wj	2
为	ww	2
何	he	2
楼	lz	2
高	gc	2
汤	uh	2
更	gg	2
暖	nr	2
凭	pk	2
啥	ua	2
桥	qn	2
坏	bw	2
应	yk	2
对	dv	2
难	nj	2
目	mu	2
光	gl	2
绕	rc	2
得	dw	2
亲	qb	2
体	bf	2
软	rr	2
装	vl	2
问	wf	2
跑	pc	2
来	ld	2
您	nb	2
眼	yj	2
前	qm	2
两	ll	2
间	jm	2
长	ih	2
草	cc	2
各	ge	2
内	na	2
外	wd	2
几	ji	2
行	hh	2
热	re	2
搜	sz	2
求	qq	2
安	an	2
全	qr	2
藏	ch	2
传	ir	2
真	vf	2
如	ru	2
修	xq	2
本	bf	2
主	vu	2
上	uh	2
元	yr	2
太	td	2
岁	sv	2
共	gs	2
双	ul	2
恩	en	2
桌	vo	2
边	bm	2
混	gy	2
吃	ii	2
仍	rg	2
需	no	2
乐	le	2
村	cy	2
中	vs	2
走	zz	2
动	ds	2
且	ju	2
请	qk	2
跟	gf	2
长	ih	2
路	lu	2
正	vg	2
顺	uy	2
或	ho	2
行	hh	2
久	jq	2
报	bc	2
表	bn	2
群	qy	2
读	dz	2
谈	tj	2
分	ff	2
成	ig	2
样	yh	2
图	tu	2
古	gu	2
怪	gk	2
撇	pp	2
