# coding: utf-8
# 小鹤音形 小字和快符
# 该文件以UTF-8编码保存
# 编码格式：字词+Tab符+编码（词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
#    === 强调一下 === 
# 
#   词条和编码之间的不是空格，而是Tab符，如果你不知道，就复制下面编码中的空白处
#   或者按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    ================
# 


😂	oi
😂	oixk
😭	oidk
😃	oihh
👍	oinb

# 快符 需要把;加入字母表
：“ 	;q
？	 ;w
（ 	;e
） 	;r
@ 	;t
· 	;y
+ 	;u
- 	;i
[ 	;o
] 	;p
！ 	;a
…… 	;s
、 	;d
《 	;g
* 	;h
/ 	;j
( 	;k
) 	;l
“ 	;z
→ 	;x
” 	;c
—— 	;v
》 	;b
< 	;n
> 	;m

# 符号
！	oa
%	ob
“	oz
：“	ox	3
说：“	ox	2
说道：“	ox	1
”	oc
、	od
（	oh	2
||	oh	1
）	oj	2
《	ok	90
》	ol
〔	on
〕	om
→	of
标点d	ofb
“”	ofbd	100
（）	ofbd	99
《》	ofbd	98
〈〉	ofbd	97
〔〕	ofbd	96
‘’	ofbd	95
「」	ofbd	94
『』	ofbd	93
【】	ofbd	92
〖〗	ofbd	91
［］	ofbd	90
｛｝	ofbd	89
．	ofbd	88
。	ofbd	87
，	ofbd	86
、	ofbd	85
；	ofbd	84
：	ofbd	83
？	ofbd	82
！	ofbd	81
…	ofbd	80
—	ofbd	79
·	ofbd	78
ˉ	ofbd	77
ˇ	ofbd	76
¨	ofbd	75
々	ofbd	74
～	ofbd	73
‖	ofbd	72
∶	ofbd	71
＂	ofbd	70
'	ofbd	69
｀	ofbd	68
｜	ofbd	67
点数u	ofd	100
⒈	ofdu	100
⒉	ofdu	99
⒊	ofdu	98
⒋	ofdu	97
⒌	ofdu	96
⒍	ofdu	95
⒎	ofdu	94
⒏	ofdu	93
⒐	ofdu	92
⒑	ofdu	91
⒒	ofdu	90
⒓	ofdu	89
⒔	ofdu	88
⒕	ofdu	87
⒖	ofdu	86
⒗	ofdu	85
⒘	ofdu	84
⒙	ofdu	83
⒚	ofdu	82
⒛	ofdu	81
单位w	ofd	99
㎎	ofdw	100
㎏	ofdw	99
㎜	ofdw	98
㎝	ofdw	97
