## 超强3简 使用deal_super_3jian.py生成
啊啊啊	aaa/
暗暗地	aad/
挨挨儿	aae/
爱爱后	aah/
嗷嗷叫	aaj/
爱爱时	aau/
艾奥瓦	aaw/
昂昂溪	aax/
爱不爱	aba/
安保部	abb/
澳本聪	abc/
熬不到	abd/
阿贝尔	abe/
氨苯砜	abf/
熬不过	abg/
奥本海	abh/
阿保机	abj/
奥比克	abk/
阿波罗	abl/
奥巴马	abm/
奥邦纳	abn/
安瓿瓶	abp/
爱不起	abq/
阿比让	abr/
阿巴斯	abs/
按不同	abt/
案板上	abu/
熬不住	abv/
艾伯维	abw/
阿坝县	abx/
爱彼迎	aby/
挨板子	abz/
爱词霸	acb/
奥村春	aci/
按错键	acj/
爱惨了	acl/
暗藏式	acu/
暗藏着	acv/
按次序	acx/
昂刺鱼	acy/
矮矬子	acz/
艾蒂安	ada/
爱丁堡	adb/
爱丁顿	add/
阿黛尔	ade/
阿道夫	adf/
熬得过	adg/
爱德华	adh/
安达充	adi/
埃德加	adj/
奥地利	adl/
埃德蒙	adm/
安东尼	adn/
奥氮平	adp/
按地区	adq/
爱的人	adr/
奥德赛	ads/
胺碘酮	adt/
爱迪生	adu/
熬得住	adv/
埃德温	adw/
安定性	adx/
安度因	ady/
爱顶嘴	adz/
阿尔巴	aeb/
阿尔达	aed/
阿尔法	aef/
阿尔戈	aeg/
奥尔加	aej/
阿尔卡	aek/
爱尔兰	ael/
阿尔敏	aem/
阿尔诺	aen/
阿尔普	aep/
阿尔奇	aeq/
埃尔热	aer/
奥尔森	aes/
阿尔托	aet/
艾尔莎	aeu/
埃尔文	aew/
阿尔西	aex/
阿尔兹	aez/
阿凡达	afd/
爱范儿	afe/
阿法狗	afg/
阿富汗	afh/
爱飞客	afk/
埃弗里	afl/
奥弗涅	afn/
奥菲欧	afo/
案发前	afq/
阿芙蓉	afr/
艾弗森	afs/
阿凡提	aft/
案发时	afu/
安抚住	afv/
安福县	afx/
暗反应	afy/
安放在	afz/
爱格板	agb/
按规定	agd/
安格尔	age/
按规范	agf/
按规格	agg/
奥观海	agh/
爱干净	agj/
阿圭罗	agl/
按规模	agm/
爱过你	agn/
熬过去	agq/
奥国人	agr/
安格斯	ags/
阿根廷	agt/
爱国者	agv/
艾格文	agw/
爱国心	agx/
熬个夜	agy/
矮个子	agz/
安环部	ahb/
安徽菜	ahc/
艾哈德	ahd/
安赫尔	ahe/
安华高	ahg/
爱荷华	ahh/
按回车	ahi/
螯合剂	ahj/
阿洪口	ahk/
奥哈拉	ahl/
阿合马	ahm/
爱护你	ahn/
爱惠浦	ahp/
安魂曲	ahq/
安徽人	ahr/
暗红色	ahs/
按合同	aht/
安徽省	ahu/
爱好者	ahv/
螯合物	ahw/
暗黑系	ahx/
按行业	ahy/
爱还在	ahz/
爱吃啊	aia/
爱吃醋	aic/
鹌鹑蛋	aid/
按常规	aig/
暗沉沉	aii/
氨茶碱	aij/
熬出来	ail/
爱吃面	aim/
爱车人	air/
爱吃酸	ais/
熬出头	ait/
按察使	aiu/
敖厂长	aiv/
爱宠网	aiw/
按程序	aix/
爱吃鱼	aiy/
安插在	aiz/
爱就爱	aja/
按剧本	ajb/
安静的	ajd/
安吉尔	aje/
安家费	ajf/
阿胶糕	ajg/
按计划	ajh/
按斤称	aji/
安家杰	ajj/
安居客	ajk/
安静了	ajl/
安检门	ajm/
阿佳妮	ajn/
凹进去	ajq/
埃及人	ajr/
氨基酸	ajs/
阿基坦	ajt/
阿加莎	aju/
案件中	ajv/
埃及文	ajw/
阿加西	ajx/
安检员	ajy/
阿吉仔	ajz/
阿克巴	akb/
阿卡德	akd/
奥卡福	akf/
爱哭鬼	akg/
奥科查	aki/
奥科吉	akj/
艾柯卡	akk/
奥克兰	akl/
阿克曼	akm/
阿奎那	akn/
昂科旗	akq/
安科瑞	akr/
奥克斯	aks/
埃克托	akt/
爱看书	aku/
昂科威	akw/
爱科学	akx/
安康鱼	aky/
奥利奥	ala/
阿拉伯	alb/
按两次	alc/
奥兰多	ald/
爱丽儿	ale/
奥利弗	alf/
阿拉贡	alg/
安理会	alh/
埃兰加	alj/
埃里克	alk/
埃雷拉	all/
阿拉曼	alm/
艾莲娜	aln/
艾利欧	alo/
阿勒颇	alp/
阿联酋	alq/
安陵容	alr/
爱丽丝	als/
阿丽塔	alt/
按理说	alu/
暗恋着	alv/
奥莉薇	alw/
阿里系	alx/
阿里云	aly/
挨了揍	alz/
爱没爱	ama/
艾梅伯	amb/
按名次	amc/
按摩店	amd/
阿米尔	ame/
按摩法	amf/
按每个	amg/
奥马哈	amh/
按摩床	ami/
艾美奖	amj/
艾米莉	aml/
阿木木	amm/
阿玛尼	amn/
按目前	amq/
爱骂人	amr/
阿蒙森	ams/
艾美特	amt/
爱马仕	amu/
爱慕者	amv/
艾媒网	amw/
安慕希	amx/
安眠药	amy/
爱面子	amz/
阿诺德	and/
奥尼尔	ane/
阿牛哥	ang/
安宁河	anh/
按钮处	ani/
安纳金	anj/
昂纳克	ank/
艾尼路	anl/
爱你们	anm/
奥纳纳	ann/
爱你哦	ano/
安宁区	anq/
按内容	anr/
阿诺斯	ans/
熬年头	ant/
按钮上	anu/
奥尼亚	any/
爱欧迪	aod/
艾欧娜	aon/
安排吧	apb/
安排得	apd/
阿佩尔	ape/
安排给	apg/
安排好	aph/
安排车	api/
阿帕基	apj/
安排了	apl/
按排名	apm/
挨批评	app/
阿帕奇	apq/
阿普斯	aps/
爱普生	apu/
爱拍照	apv/
阿帕网	apw/
安排下	apx/
阿皮亚	apy/
安排在	apz/
安全部	aqb/
安全词	aqc/
安全的	aqd/
安琪儿	aqe/
安全阀	aqf/
安全感	aqg/
爱琴海	aqh/
爱企查	aqi/
爱钱进	aqj/
按情况	aqk/
爱情里	aql/
安全吗	aqm/
矮牵牛	aqn/
爱情片	aqp/
安全区	aqq/
安庆人	aqr/
安全锁	aqs/
安全套	aqt/
爱情是	aqu/
安全值	aqv/
安全网	aqw/
安全性	aqx/
爱奇艺	aqy/
挨枪子	aqz/
阿如村	arc/
奥瑞德	ard/
艾瑞儿	are/
安仁坊	arf/
矮人国	arg/
爱如火	arh/
按人均	arj/
艾瑞克	ark/
艾瑞里	arl/
爱人民	arm/
阿瑞娜	arn/
阿瑞斯	ars/
按人头	art/
安热沙	aru/
阿日扎	arv/
艾瑞网	arw/
安若溪	arx/
矮人语	ary/
艾瑞泽	arz/
奥斯本	asb/
暗色彩	asc/
阿斯顿	asd/
奥赛尔	ase/
阿三哥	asg/
艾森豪	ash/
爱死机	asj/
奥斯卡	ask/
阿苏勒	asl/
奥斯曼	asm/
阿森纳	asn/
埃斯帕	asp/
阿桑奇	asq/
阿森松	ass/
奥斯汀	ast/
阿苏山	asu/
埃森哲	asv/
阿斯旺	asw/
暗色系	asx/
暗色岩	asy/
埃托奥	ata/
阿土伯	atb/
爱吐槽	atc/
按他的	atd/
阿图尔	ate/
阿汤哥	atg/
凹透镜	atj/
安条克	atk/
阿提拉	atl/
奥特曼	atm/
埃特纳	atn/
阿托品	atp/
奥提斯	ats/
爱挑剔	att/
安徒生	atu/
安亭镇	atv/
安托万	atw/
爱听戏	atx/
安胎药	aty/
奥提兹	atz/
奥数班	aub/
爱收藏	auc/
爱仕达	aud/
按省份	auf/
安世高	aug/
爱生活	auh/
安市城	aui/
按时间	auj/
奥士康	auk/
爱上了	aul/
啊什么	aum/
爱上你	aun/
