趣	qut
二	era
壬	rfp
友	yzu
时	uio
础	iuu
噢	ook
霈	pwy
吖	aak
鸽	ger
盉	heh
咎	jqw
渴	ked
崽	zdu
孝	xnl
丛	csr
遮	vez
叭	bak
倪	nir
嘛	mak
肮	aho
爸	baf
堡	bcr
栟	bfm
泵	bgu
邦	bhf
毕	bib
瘢	bjb
病	bkb
遍	bmz
飑	bnf
泊	bod
卑	bwp
曹	ccc
苍	chc
雌	civ
锉	coj
寸	cyu
德	der
党	dhx
堤	dit
儋	djr
疔	dkb
簟	dmv
惰	dox
迭	dpz
簖	drv
蠹	dug
怼	dvy
墩	dyt
峨	eeu
凤	fgj
邡	fhf
篚	fwv
膏	gcw
盖	gdy
冈	ghk
玕	gjw
官	grb
宫	gsb
崮	guu
钩	gzj
孩	hdz
合	her
桁	hgm
颔	hjr
荒	hlc
惑	hog
擐	hrf
纮	hss
祜	hup
徽	hvr
浑	hyd
厚	hzi
诧	iay
琤	igw
哧	iik
颤	ijw
搋	ikf
惙	iox
漴	isd
琡	iuw
圌	ivk
唇	iyi
近	jbz
及	jip
奖	jll
检	jmm
嚼	jnk
捷	jpf
九	jqp
眷	jrj
冏	jsk
惧	jux
架	jxl
畯	jyt
犒	kcn
磕	keu
扛	khf
砍	kju
夼	kld
扩	kof
喇	lak
粼	lbm
耢	lcl
坜	lit
领	lkr
萝	loc
裂	lpd
溜	lqd
鹭	luz
缕	lvs
檑	lwm
娄	lzm
嘛	mak
贸	mcp
檬	mgm
米	mib
漫	mjd
万	moa
呒	muk
湄	mwd
鼐	ndn
哪	nek
昵	nio
甯	nkb
嬢	nln
袅	nnn
努	nun
噢	ook
殴	ouq
湃	pdd
砰	pgu
披	pif
磐	pjv
票	pnx
匍	pub
期	qic
鲭	qky
骞	qmb
佺	qrr
穹	qsb
曲	quk
忍	rfr
爇	roc
冗	rsb
嬬	run
搔	scf
塞	sdb
涩	sed
泗	sid
肃	suy
飕	szf
牠	tan
涛	tcd
汰	tdd
替	tif
谭	tjy
托	tof
帖	tpj
嗵	tsk
吐	tuk
坉	tyt
嗄	uak
沈	ufd
升	ugp
食	uir
苫	ujc
霜	uly
闩	urm
疏	uuv
揸	vaf
招	vcf
宅	vdb
谪	vey
砧	vfu
吱	vik
状	vll
卓	vob
伫	vur
咒	vzk
闻	wfm
瓮	wgg
宛	wjb
挝	wof
五	wua
辛	xbl
溪	xid
相	xlm
嫌	xmn
箫	xnv
卸	xpv
休	xqr
凶	xsk
削	xtx
需	xuy
𬩽	xye
吖	yak
吟	ybk
肴	ycx
杨	yhm
医	yik
晏	yjo
鹰	ykg
唷	yok
愿	yri
咏	ysk
竽	yuv
繇	yzv
咂	zak
耔	zil
酂	zjn
作	zor
宗	zsb
