𤭢	亠人人十瓦
𰻝	辶穴月幺长言马幺长刂心
嬢	女衣八𠀎
薙	艹矢亻{隹右}
菈	艹扌立
卻	谷卩
濛	氵艹冖一豕
诶	讠厶矢
凃	冫𠆢一朩
咲	口丷天
螓	虫𡗗禾
珮	𤣩𠘨一巾
睆	目宀元
挼	扌爫女
嗯	口因心
欸	厶矢欠
哟	口纟勺
唷	口亠厶⺝
育	亠厶⺝
啊	口⻖可
阿	⻖可
吖	口丫
锕	钅⻖可
腌	⺼大电
爱	爫冖𠂇又
艾	艹乂
哎	口艹乂
唉	口厶矢
哀	衣口
挨	扌厶矢
埃	土厶矢
矮	矢禾女
碍	石旦寸
暧	日爫冖𠂇又
癌	疒口口口山
蔼	艹讠曰勹𠃊人
隘	⻖丷一八皿
皑	白山己
霭	雨讠曰勹𠃊人
嗳	口爫冖𠂇又
嫒	女爫冖𠂇又
毐	士毋
叆	云爫冖𠂇又
瑷	𤣩爫冖𠂇又
砹	石艹乂
锿	钅衣口
嗌	口丷一八皿
按	扌宀女
安	宀女
暗	日立日
案	宀女木
岸	山厂干
俺	亻大电
黯	{里}灬立日
庵	广大电
鞍	革宀女
谙	讠立日
氨	气宀女
胺	⺼宀女
鹌	大电鸟
桉	木宀女
犴	犭干
唵	口大电
铵	钅宀女
埯	土大电
盦	𠆢一㇇酉皿
垵	土宀女
𩽾	鱼宀女
昂	日丿𠄌卩
肮	⺼亠几
盎	央皿
卬	丿𠄌卩
傲	亻龶{⺈}攵
奥	丿⺆米大
熬	龶{⺈}攵灬
敖	龶{⺈}攵
澳	氵丿冂釆大
凹	丨㇅丨𠃍一
懊	忄丿冂釆大
嗷	口龶{⺈}攵
拗	扌幺力
袄	衤夭
鳌	龶{⺈}攵鱼
翱	白大十习习
獒	龶{⺈}攵犬
骜	龶{⺈}攵马
坳	土幺力
鏖	鹿金
遨	辶龶{⺈}攵
媪	女日皿
螯	龶{⺈}攵虫
岙	夭山
璈	𤣩龶{⺈}攵
鏊	龶{⺈}攵金
聱	龶{⺈}攵耳
廒	广龶{⺈}攵
奡	𦣻大{⿰丿丨}
隩	⻖丿冂釆大
薁	艹丿冂釆大
嶅	龶{⺈}攵山
把	扌巴
吧	口巴
八	丿乀
爸	父巴
巴	巳丨
罢	罒去
拔	扌𠂇丶又
霸	雨革月
疤	疒巴
跋	𧾷𠂇丶又
扒	扌八
叭	口八
芭	艹巴
靶	革巴
坝	土贝
耙	耒巴
笆	竹巴
魃	鬼𠂇丶又
粑	米巴
钯	钅巴
灞	氵雨革月
捌	扌口力刂
鲅	鱼𠂇丶又
岜	山巴
鲃	鱼巴
菝	艹扌𠂇丶又
蚆	虫巴
胈	⺼𠂇丶又
羓	羊巴
朳	木八
妭	女𠂇丶又
白	丿日
百	一白
败	贝攵
摆	扌罒去
拜	龵一丰
柏	木白
掰	手分手
伯	亻白
佰	亻百
稗	禾{卑上}十
捭	扌{卑上}十
半	丷𰀁
办	力八
般	舟殳
板	木𠂆又
班	𤣩王リ
伴	亻半
版	片𠂆又
搬	扌舟殳
扮	扌分
斑	𤣩王文
扳	扌𠂆又
瓣	辛辛瓜
绊	纟半
颁	分页
拌	扌半
阪	⻖𠂆又
坂	土𠂆又
瘢	疒舟殳
钣	钅𠂆又
癍	疒𤣩王文
攽	分攵
柈	木半
昄	日𠂆又
湴	氵丷一业
靽	革半
𨭉	文戈一止金
帮	丰⻏巾
膀	⺼亠丷冖方
邦	丰⻏
棒	木𡗗𰀁
绑	纟丰⻏
榜	木亠丷冖方
傍	亻亠丷冖方
磅	石亠丷冖方
梆	木丰⻏
镑	钅亠丷冖方
谤	讠亠丷冖方
蚌	虫丰
浜	氵丘八
蒡	艹亠丷冖方
玤	𤣩丰
搒	扌亠丷冖方
塝	土亠丷冖方
𠳐	口丰⻏
保	亻口木
报	扌卩又
包	勹巳
宝	宀玉
抱	扌包
暴	日共氺
爆	火日共氺
薄	艹氵甫寸
堡	亻口木土
饱	饣包
豹	豸勺
胞	⺼包
