的	〔白勹丶&nbsp;·&nbsp;unid〕
一	〔一&nbsp;·&nbsp;fi〕
是	〔日&nbsp;·&nbsp;ots〕
不	〔不&nbsp;·&nbsp;cb〕
了	〔了&nbsp;·&nbsp;rl〕
在	〔𠂇丨土&nbsp;·&nbsp;nggt〕
我	〔丿扌戈&nbsp;·&nbsp;tupg〕
人	〔人&nbsp;·&nbsp;jr〕
他	〔亻也&nbsp;·&nbsp;jey〕
这	〔文辶&nbsp;·&nbsp;vuc〕
有	〔𠂇⺝&nbsp;·&nbsp;nvy〕
个	〔人丨&nbsp;·&nbsp;jgs〕
大	〔大&nbsp;·&nbsp;md〕
上	〔⺊一&nbsp;·&nbsp;yfi〕
中	〔口丨&nbsp;·&nbsp;dgs〕
来	〔未丷&nbsp;·&nbsp;ahb〕
地	〔土也&nbsp;·&nbsp;gey〕
和	〔禾口&nbsp;·&nbsp;xdk〕
说	〔讠丷口儿&nbsp;·&nbsp;shdp〕
为	〔丶力丶&nbsp;·&nbsp;isid〕
们	〔亻门&nbsp;·&nbsp;jam〕
到	〔至刂&nbsp;·&nbsp;ypd〕
你	〔亻小&nbsp;·&nbsp;jxyx〕
就	〔小尤&nbsp;·&nbsp;gyoy〕
也	〔也&nbsp;·&nbsp;ey〕
以	〔人&nbsp;·&nbsp;vjr〕
国	〔囗王丶&nbsp;·&nbsp;rnid〕
那	〔㇆阝&nbsp;·&nbsp;aute〕
要	〔覀女&nbsp;·&nbsp;vbn〕
时	〔日寸&nbsp;·&nbsp;okc〕
出	〔屮凵&nbsp;·&nbsp;smk〕
着	〔⺶目&nbsp;·&nbsp;gqm〕
可	〔可&nbsp;·&nbsp;zk〕
道	〔䒑自辶&nbsp;·&nbsp;houc〕
之	〔之&nbsp;·&nbsp;ri〕
对	〔又寸&nbsp;·&nbsp;rkc〕
会	〔人云&nbsp;·&nbsp;jby〕
自	〔自&nbsp;·&nbsp;oi〕
而	〔而&nbsp;·&nbsp;le〕
得	〔彳日一寸&nbsp;·&nbsp;wofk〕
下	〔一卜&nbsp;·&nbsp;fyb〕
能	〔厶⺝匕&nbsp;·&nbsp;kvvv〕
过	〔寸辶&nbsp;·&nbsp;kuc〕
生	〔生&nbsp;·&nbsp;ls〕
子	〔子&nbsp;·&nbsp;hi〕
于	〔一&nbsp;·&nbsp;fns〕
年	〔𠂉&nbsp;·&nbsp;evk〕
后	〔⺁一口&nbsp;·&nbsp;xfdk〕
发	〔又丶&nbsp;·&nbsp;srid〕
都	〔耂日阝&nbsp;·&nbsp;qote〕
里	〔里&nbsp;·&nbsp;dl〕
没	〔氵殳&nbsp;·&nbsp;krs〕
还	〔不辶&nbsp;·&nbsp;cuc〕
所	〔斤&nbsp;·&nbsp;mtj〕
去	〔土厶&nbsp;·&nbsp;gks〕
看	〔龵目&nbsp;·&nbsp;uqm〕
事	〔一口&nbsp;·&nbsp;fdbv〕
如	〔女口&nbsp;·&nbsp;bdk〕
用	〔用&nbsp;·&nbsp;ty〕
小	〔小&nbsp;·&nbsp;yx〕
作	〔亻乍&nbsp;·&nbsp;jwa〕
多	〔夕夕&nbsp;·&nbsp;llx〕
行	〔行&nbsp;·&nbsp;px〕
只	〔口八&nbsp;·&nbsp;dhb〕
好	〔女子&nbsp;·&nbsp;bhi〕
成	〔戊㇆&nbsp;·&nbsp;nae〕
家	〔宀豕&nbsp;·&nbsp;wjs〕
天	〔一大&nbsp;·&nbsp;fmd〕
她	〔女也&nbsp;·&nbsp;bey〕
方	〔方&nbsp;·&nbsp;lf〕
然	〔犬灬&nbsp;·&nbsp;vmch〕
当	〔⺌彐&nbsp;·&nbsp;ybj〕
心	〔心&nbsp;·&nbsp;hx〕
起	〔走己&nbsp;·&nbsp;pvj〕
种	〔禾口丨&nbsp;·&nbsp;xdgs〕
想	〔木目心&nbsp;·&nbsp;eqhx〕
经	〔纟ス工&nbsp;·&nbsp;irug〕
现	〔王见&nbsp;·&nbsp;nej〕
但	〔亻日一&nbsp;·&nbsp;jofi〕
法	〔氵土厶&nbsp;·&nbsp;kgks〕
无	〔无&nbsp;·&nbsp;du〕
同	〔冂一口&nbsp;·&nbsp;mfdk〕
么	〔丿厶&nbsp;·&nbsp;tks〕
进	〔井辶&nbsp;·&nbsp;quc〕
学	〔⺍冖子&nbsp;·&nbsp;kwhi〕
面	〔面&nbsp;·&nbsp;bm〕
其	〔&nbsp;·&nbsp;zhb〕
前	〔䒑⺝刂&nbsp;·&nbsp;hvpd〕
已	〔已&nbsp;·&nbsp;vi〕
主	〔丶王&nbsp;·&nbsp;inw〕
从	〔人人&nbsp;·&nbsp;jjr〕
动	〔云力&nbsp;·&nbsp;bsl〕
分	〔八刀&nbsp;·&nbsp;hpd〕
把	〔扌巴&nbsp;·&nbsp;umb〕
开	〔一廾&nbsp;·&nbsp;flc〕
军	〔冖车&nbsp;·&nbsp;wyc〕
又	〔又&nbsp;·&nbsp;ry〕
两	〔两&nbsp;·&nbsp;ml〕
本	〔木一&nbsp;·&nbsp;efi〕
因	〔囗大&nbsp;·&nbsp;rmd〕
